Model,Accuracy,Precision,Recall,F1,AUC,MAE,RMSE,R2,Adjusted_R2
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199,,,,
Decision Tree,0.7640449438202247,0.76,0.5588235294117647,0.6440677966101694,0.8373663101604277,,,,
Random Forest,0.8033707865168539,0.7619047619047619,0.7058823529411765,0.732824427480916,0.8236631016042781,,,,
Linear Regression,,,,,,16.907360962624807,37.80233616166028,0.46437526425226383,0.39996469476361207
